Transaction ID,Staff,Date,Item,Amount
0,The Hood,2020/06/01,Pastry,7.49
1,The Hood,2020/06/01,Tea,3.29
2,The Hood,2020/06/01,Tea,3.29
3,The Hood,2020/06/01,Jam,12.89
4,The Hood,2020/06/01,Cake,8.73
5,The Hood,2020/06/01,Jam,12.89
6,The Hood,2020/06/01,Cake,8.73
7,The Hood,2020/06/01,Pastry,7.49
8,The Hood,2020/06/01,Tea,3.29
9,The Hood,2020/06/01,Coffee,4.37
10,The Hood,2020/06/01,Coffee,4.37
11,Dr Claw,2020/06/02,Tea,3.29
12,Dr Claw,2020/06/02,Jam,12.89
13,Dr Claw,2020/06/02,Cake,8.73
14,Dr Claw,2020/06/02,Bread,5.92
15,Dr Claw,2020/06/02,Bread,5.92
16,Dr Claw,2020/06/02,Bread,5.92
17,Dr Claw,2020/06/02,Cake,8.73
18,Dr Claw,2020/06/02,Jam,12.89
19,Dr Claw,2020/06/02,Cake,8.73
20,Dr Claw,2020/06/02,Bread,5.92
21,Dr Claw,2020/06/02,Pastry,7.49
22,Dr Claw,2020/06/02,Coffee,4.37
23,Dr Claw,2020/06/02,Bread,5.92
24,Dr Claw,2020/06/02,Bread,5.92
25,Dr Claw,2020/06/02,Jam,12.89
26,Dr Claw,2020/06/02,Pastry,7.49
27,Dr Claw,2020/06/02,Cake,8.73
28,Dr Claw,2020/06/02,Bread,5.92
29,Dr Claw,2020/06/02,Pastry,7.49
30,Dr Claw,2020/06/02,Pastry,7.49
31,Dr Claw,2020/06/02,Cake,8.73
32,Dr Claw,2020/06/02,Tea,3.29
33,Dr Claw,2020/06/02,Cake,8.73
34,Dr Claw,2020/06/02,Bread,5.92
35,Dr Claw,2020/06/02,Tea,3.29
36,Ariana,2020/06/03,Tea,3.29
37,Ariana,2020/06/03,Cake,8.73
38,Ariana,2020/06/03,Jam,12.89
39,Ariana,2020/06/03,Jam,12.89
40,Ariana,2020/06/03,Cake,8.73
41,Ariana,2020/06/03,Cake,8.73
42,Ariana,2020/06/03,Coffee,4.37
43,Ariana,2020/06/03,Cake,8.73
44,Ariana,2020/06/03,Bread,5.92
45,Ariana,2020/06/03,Bread,5.92
46,Ariana,2020/06/03,Coffee,4.37
47,Ariana,2020/06/03,Tea,3.29
48,Ariana,2020/06/03,Coffee,4.37
49,Ariana,2020/06/03,Jam,12.89
50,Ariana,2020/06/03,Tea,3.29
51,Ariana,2020/06/03,Coffee,4.37
52,Ariana,2020/06/03,Pastry,7.49
53,Ariana,2020/06/03,Bread,5.92
54,Ariana,2020/06/03,Coffee,4.37
55,Ariana,2020/06/03,Jam,12.89
56,Ariana,2020/06/03,Pastry,7.49
57,Ariana,2020/06/03,Coffee,4.37
58,Cersai,2020/06/04,Pastry,7.49
