Transaction ID,Date,Item,Deposit Amount
0,2020/06/01,Pastry,7.49
1,2020/06/01,Tea,3.29
2,2020/06/01,Tea,3.29
3,2020/06/01,Jam,12.89
4,2020/06/01,Cake,8.73
5,2020/06/01,Jam,-6.88
6,2020/06/01,Cake,8.73
7,2020/06/01,Pastry,7.49
8,2020/06/01,Tea,3.29
9,2020/06/01,Coffee,4.37
10,2020/06/01,Coffee,4.37
11,2020/06/02,Tea,3.29
12,2020/06/02,Jam,12.89
13,2020/06/02,Cake,8.73
14,2020/06/02,Bread,5.92
15,2020/06/02,Bread,5.92
16,2020/06/02,Bread,5.92
17,2020/06/02,Cake,8.73
18,2020/06/02,Jam,12.89
19,2020/06/02,Cake,8.73
20,2020/06/02,Bread,5.92
21,2020/06/02,Pastry,7.49
22,2020/06/02,Coffee,4.37
23,2020/06/02,Bread,5.92
24,2020/06/02,Bread,5.92
25,2020/06/02,Jam,12.89
26,2020/06/02,Pastry,7.49
27,2020/06/02,Cake,8.73
28,2020/06/02,Bread,5.92
29,2020/06/02,Pastry,7.49
30,2020/06/02,Pastry,7.49
31,2020/06/02,Cake,8.73
32,2020/06/02,Tea,3.29
33,2020/06/02,Cake,8.73
34,2020/06/02,Bread,5.92
35,2020/06/02,Tea,3.29
36,2020/06/03,Tea,3.29
37,2020/06/03,Cake,8.73
38,2020/06/03,Jam,12.89
39,2020/06/03,Jam,12.89
40,2020/06/03,Cake,8.73
41,2020/06/03,Cake,8.73
42,2020/06/03,Coffee,4.37
43,2020/06/03,Cake,8.73
44,2020/06/03,Bread,5.92
45,2020/06/03,Bread,5.92
46,2020/06/03,Coffee,4.37
47,2020/06/03,Tea,3.29
48,2020/06/03,Coffee,4.37
49,2020/06/03,Jam,12.89
50,2020/06/03,Tea,3.29
51,2020/06/03,Coffee,4.37
52,2020/06/03,Pastry,7.49
53,2020/06/03,Bread,5.92
54,2020/06/03,Coffee,4.37
55,2020/06/03,Jam,12.89
56,2020/06/03,Pastry,7.49
57,2020/06/03,Coffee,4.37
58,2020/06/04,Pastry,7.49
59,2020/06/04,Coffee,-0.27
60,2020/06/04,Tea,3.29
61,2020/06/04,Tea,3.29
62,2020/06/04,Cake,-2.36
63,2020/06/04,Pastry,7.49
64,2020/06/04,Pastry,7.49
65,2020/06/05,Coffee,4.37
66,2020/06/06,Coffee,4.37
67,2020/06/06,Coffee,4.37
68,2020/06/06,Pastry,7.49
69,2020/06/06,Pastry,7.49
70,2020/06/06,Jam,12.89
71,2020/06/06,Pastry,7.49
72,2020/06/06,Pastry,7.49
73,2020/06/06,Cake,8.73
74,2020/06/06,Coffee,4.37
75,2020/06/06,Coffee,4.37
76,2020/06/06,Coffee,4.37
77,2020/06/06,Cake,8.73
78,2020/06/06,Coffee,4.37
79,2020/06/06,Jam,12.89
80,2020/06/06,Bread,5.92
81,2020/06/06,Pastry,7.49
82,2020/06/06,Coffee,4.37
83,2020/06/06,Cake,8.73
84,2020/06/06,Cake,8.73
85,2020/06/06,Jam,12.89
86,2020/06/06,Cake,8.73
87,2020/06/06,Tea,3.29
88,2020/06/06,Jam,12.89
89,2020/06/06,Coffee,4.37
90,2020/06/06,Coffee,4.37
91,2020/06/06,Jam,12.89
92,2020/06/06,Cake,8.73
93,2020/06/07,Pastry,7.49
94,2020/06/07,Jam,12.89
95,2020/06/07,Jam,12.89
96,2020/06/07,Pastry,7.49
97,2020/06/07,Pastry,7.49
98,2020/06/07,Jam,12.89
99,2020/06/07,Tea,3.29
100,2020/06/07,Pastry,7.49
101,2020/06/07,Bread,5.92
102,2020/06/07,Tea,3.29
103,2020/06/07,Coffee,4.37
104,2020/06/07,Jam,12.89
105,2020/06/07,Pastry,7.49
