"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-01","2020","01","01","†","-2.0","","-3.5","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","120","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-02","2020","01","02","†","-0.5","","-9.5","","-5.0","","23.0","","0.0","","0.0","","18.0","","18.0","","118","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-03","2020","01","03","†","0.5","","-9.0","","-4.3","","22.3","","0.0","","0.0","","41.0","","41.0","","134","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-04","2020","01","04","†","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","10.0","","10.0","","160","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-05","2020","01","05","†","-5.0","","-7.5","","-6.3","","24.3","","0.0","","0.0","","18.0","","18.0","","161","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-06","2020","01","06","†","0.5","","-9.0","","-4.3","","22.3","","0.0","","0.0","","21.0","","21.0","","164","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-07","2020","01","07","†","-0.5","","-2.0","","-1.3","","19.3","","0.0","","0.0","","45.0","","45.0","","175","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-08","2020","01","08","†","-7.5","","-8.5","","-8.0","","26.0","","0.0","","0.0","","1.0","","1.0","","202","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-09","2020","01","09","†","-7.5","","-12.0","","-9.8","","27.8","","0.0","","0.0","","9.0","","9.0","","192","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-10","2020","01","10","†","-4.5","","-10.0","","-7.3","","25.3","","0.0","","0.0","","15.0","","15.0","","191","","","","",""
"-122.95","50.07","WHISTLER ROUNDHOUSE","1108906","2020-01-11","2020","01","11","†","-4.5","","-7.0","","-5.8","","23.8","","0.0","","0.0","","11.0","","11.0","","194","","","","",""
